# Tempo	TCP1_cwnd	TCP1_ssthresh	TCP2_cwnd	TCP2_ssthresh
17.099999999999977	5.45173	5	6.87746	2
17.199999999999978	5.63515	5	3.72954	3
17.299999999999979	6.77806	5	4.48323	3
17.399999999999981	8.00689	5	5.3173	3
17.499999999999982	9.06839	5	6.19915	3
17.599999999999984	9.81403	5	7.11114	3
17.699999999999985	4.95796	4	7.91686	3
17.799999999999986	5.35347	4	3.95843	3
17.899999999999988	6.39057	4	4.21106	3
17.999999999999989	7.81296	4	4.21106	3
18.099999999999991	9.12131	4	2	2
18.199999999999992	10.4564	4	2.9	2
18.299999999999994	11.978	4	3.83446	2
18.399999999999995	13.2504	4	5.19763	2
18.499999999999996	14.6175	4	6.09735	2
18.599999999999998	15.6121	4	7.44171	2
18.699999999999999	16.5468	4	8.57449	2
18.800000000000001	17.4886	4	9.46687	2
18.900000000000002	18.4365	4	10.1831	2
19.000000000000004	19.3896	4	10.7587	2
19.100000000000005	20.1989	4	11.4811	2
19.200000000000006	20.8813	4	5.99707	5
19.300000000000008	10.5123	10	6.16382	5
19.400000000000009	11.2507	10	7.08046	5
19.500000000000011	12.437	10	8.38471	5
19.600000000000012	13.3698	10	9.71864	5
19.700000000000014	14.3814	10	10.7028	5
19.800000000000015	15.326	10	11.603	5
19.900000000000016	16.2155	10	12.4378	5
20.000000000000018	17.1756	10	13.0671	5
20.100000000000019	18.1399	10	13.5937	5
20.200000000000021	18.897	10	7.01464	7
20.300000000000022	9.50135	9	7.15719	7
20.400000000000023	10.313	9	7.15719	7
20.500000000000025	11.4219	9	1	3
20.600000000000026	12.8288	9	3.33333	3
20.700000000000028	14.2366	9	4.16441	3
20.800000000000029	15.5167	9	5.25165	3
20.900000000000031	16.4568	9	6.77034	3
21.000000000000032	17.5183	9	7.61288	3
21.100000000000033	18.4646	9	8.48916	3
21.200000000000035	19.3129	9	9.38974	3
21.300000000000036	20.274	9	9.91068	3
21.400000000000038	21.2387	9	10.4053	3
21.500000000000039	21.9799	9	10.9692	3
21.600000000000041	10.99	10	5.4846	5
21.700000000000042	11.9525	10	6.34258	5
21.800000000000043	12.998	10	7.90256	5
21.900000000000045	14.0365	10	9.08797	5
22.000000000000046	15.0697	10	10.0345	5
22.100000000000048	15.9735	10	10.9901	5
22.200000000000049	16.8287	10	11.8684	5
22.30000000000005	17.5855	10	12.7645	5
22.400000000000052	18.5284	10	13.3032	5
22.500000000000053	9.50432	9	13.8207	5
22.600000000000055	9.60954	9	7.01833	7
22.700000000000056	9.60954	9	8.08702	7
22.800000000000058	1	4	9.1391	7
22.900000000000059	2	4	10.8488	7
23.00000000000006	4.92064	4	11.7377	7
23.100000000000062	5.68862	4	13.2626	7
23.200000000000063	6.82236	4	14.4909	7
23.300000000000065	8.16862	4	15.4288	7
23.400000000000066	9.21125	4	16.374	7
23.500000000000068	10.0466	4	17.3253	7
23.600000000000069	10.7238	4	18.2816	7
23.70000000000007	11.2716	4	19.2424	7
23.800000000000072	12.0464	4	20.0077	7
23.900000000000073	13.0075	4	10.0039	10
24.000000000000075	13.9737	4	10.1038	10
24.100000000000076	15.1442	4	10.1038	10
24.200000000000077	16.5359	4	1	5
24.300000000000079	17.7625	4	3	5
24.40000000000008	18.8565	4	5.39231	5
24.500000000000082	19.8902	4	6.26331	5
24.600000000000083	20.7765	4	7.16696	5
24.700000000000085	21.5801	4	8.09245	5
24.800000000000086	22.31	4	9.03319	5
24.900000000000087	11.5083	11	9.36133	5
25.000000000000089	11.5952	11	9.98495	5
25.10000000000009	11.5952	11	10.8528	5
25.200000000000092	1	5	10.8528	5
25.300000000000093	2	5	1	5
25.400000000000095	3	5	1	5
25.500000000000096	3	5	1	5
25.600000000000097	3	5	1	5
25.700000000000099	3	5	1	5
25.8000000000001	1	5	1	5
25.900000000000102	1	5	1	5
26.000000000000103	1	5	1	5
26.100000000000104	1	5	1	5
26.200000000000106	1	5	1	5
26.300000000000107	1	5	1	5
26.400000000000109	1	5	1	5
26.50000000000011	1	5	1	5
26.600000000000112	1	5	1	5
26.700000000000113	1	5	1	5
26.800000000000114	1	5	1	5
26.900000000000116	1	5	1	5
27.000000000000117	1	5	1	5
27.100000000000119	1	5	1	5
27.20000000000012	1	5	1	5
27.300000000000122	1	5	1	5
27.400000000000123	1	5	1	5
27.500000000000124	1	5	1	5
27.600000000000126	1	5	1	5
27.700000000000127	1	5	1	5
27.800000000000129	1	5	1	5
27.90000000000013	1	5	1	5
28.000000000000131	1	5	1	5
28.100000000000133	1	5	1	5
28.200000000000134	1	5	1	5
28.300000000000136	1	5	1	5
28.400000000000137	1	5	1	5
28.500000000000139	1	5	1	5
28.60000000000014	1	5	1	5
28.700000000000141	1	5	1	5
28.800000000000143	1	5	1	5
28.900000000000144	1	5	1	5
29.000000000000146	1	5	1	5
29.100000000000147	1	5	1	5
29.200000000000149	1	5	1	5
29.30000000000015	1	5	1	5
29.400000000000151	1	5	1	5
29.500000000000153	1	5	1	5
29.600000000000154	1	5	1	5
29.700000000000156	1	5	1	5
29.800000000000157	1	5	1	5
29.900000000000158	1	5	1	5
